image_name,x,y
0138.jpg,1102.08,768.35
0139.jpg,1079.18,812.79
0140.jpg,1056.27,857.24
0141.jpg,1033.37,848.35
0142.jpg,1010.46,803.9
0143.jpg,987.56,759.46
0144.jpg,964.65,715.01
0145.jpg,941.75,670.57
0146.jpg,918.84,626.12
0147.jpg,895.94,581.67
0148.jpg,873.04,537.23
0149.jpg,850.13,492.78
0150.jpg,827.23,448.34
0151.jpg,804.32,403.89
0152.jpg,781.42,359.45
0153.jpg,758.51,315.0
0154.jpg,735.61,270.56
0155.jpg,712.7,226.11
0156.jpg,689.8,181.67
0157.jpg,666.9,137.22
0158.jpg,643.99,92.78
0159.jpg,621.09,48.33
0160.jpg,598.18,3.89
0161.jpg,575.28,48.33
0162.jpg,552.37,92.78
0163.jpg,529.47,137.22
0164.jpg,506.56,181.67
0165.jpg,483.66,226.11
0166.jpg,460.75,270.56
0167.jpg,437.85,315.0
0168.jpg,414.95,359.45
0169.jpg,392.04,403.89
0170.jpg,369.14,448.34
0171.jpg,346.23,492.78
0172.jpg,323.33,537.23
0173.jpg,300.42,581.67
0174.jpg,277.52,626.12
0175.jpg,254.61,670.57
0176.jpg,231.71,715.01
0177.jpg,208.81,759.46
0178.jpg,185.9,803.9
0179.jpg,163.0,848.35
0180.jpg,140.09,857.24
0181.jpg,117.19,812.79
0182.jpg,94.28,768.35
0183.jpg,71.38,723.9
0184.jpg,48.47,679.45
0185.jpg,25.57,635.01
0186.jpg,11.83,590.56
0187.jpg,34.73,546.12
0188.jpg,57.64,501.67
0189.jpg,80.54,457.23
0190.jpg,103.45,412.78
0191.jpg,126.35,368.34
0192.jpg,149.25,323.89
0193.jpg,172.16,279.45
0194.jpg,195.06,235.0
0195.jpg,217.97,190.56
0196.jpg,240.87,146.11
0197.jpg,263.78,101.67
0198.jpg,286.68,57.22
0199.jpg,309.59,12.78
0200.jpg,332.49,39.44
0201.jpg,355.39,83.89
0202.jpg,378.3,128.33
0203.jpg,401.2,172.78
0204.jpg,424.11,217.22
0205.jpg,447.01,261.67
0206.jpg,469.92,306.11
0207.jpg,492.82,350.56
0208.jpg,515.73,395.0
0209.jpg,538.63,439.45
0210.jpg,561.53,483.9
0211.jpg,584.44,528.34
0212.jpg,607.34,572.79
0213.jpg,630.25,617.23
0214.jpg,653.15,661.68
0215.jpg,676.06,706.12
0216.jpg,698.96,750.57
0217.jpg,721.87,795.01
0218.jpg,744.77,839.46
0219.jpg,767.67,866.12
0220.jpg,790.58,821.68
0221.jpg,813.48,777.23
0222.jpg,836.39,732.79
0223.jpg,859.29,688.34
0224.jpg,882.2,643.9
0225.jpg,905.1,599.45
0226.jpg,928.01,555.01
0227.jpg,950.91,510.56
0228.jpg,973.82,466.12
0229.jpg,996.72,421.67
0230.jpg,1019.62,377.23
0231.jpg,1042.53,332.78
0232.jpg,1065.43,288.34
0233.jpg,1088.34,243.89
0234.jpg,1111.24,199.45
0235.jpg,1134.15,155.0
0236.jpg,1157.05,110.55
0237.jpg,1179.96,66.11
0238.jpg,1202.86,21.66
0239.jpg,1225.76,30.55
0240.jpg,1248.67,75.0
0241.jpg,1271.57,119.44
0242.jpg,1294.48,163.89
0243.jpg,1317.38,208.33
0244.jpg,1340.29,252.78
0245.jpg,1363.19,297.22
0246.jpg,1386.1,341.67
0247.jpg,1409.0,386.12
0248.jpg,1413.58,430.56
0249.jpg,1390.68,475.01
0250.jpg,1367.77,519.45
0251.jpg,1344.87,563.9
0252.jpg,1321.96,608.34
0253.jpg,1299.06,652.79
0254.jpg,1276.15,697.23
0255.jpg,1253.25,741.68
0256.jpg,1230.35,786.12
0257.jpg,1207.44,830.57
0258.jpg,1184.54,875.01
0259.jpg,1161.63,830.57
0260.jpg,1138.73,786.12
0261.jpg,1115.82,741.68
0262.jpg,1092.92,697.23
0263.jpg,1070.01,652.79
0264.jpg,1047.11,608.34
0265.jpg,1024.2,563.9
0266.jpg,1001.3,519.45
0267.jpg,978.4,475.01
0268.jpg,955.49,430.56
0269.jpg,932.59,386.12
0270.jpg,909.68,341.67
0271.jpg,886.78,297.22
0272.jpg,863.87,252.78
0273.jpg,840.97,208.33
0274.jpg,818.06,163.89
0275.jpg,795.16,119.44
0276.jpg,772.26,75.0
0277.jpg,749.35,30.55
0278.jpg,726.45,21.66
0279.jpg,703.54,66.11
0280.jpg,680.64,110.55
0281.jpg,657.73,155.0
0282.jpg,634.83,199.45
0283.jpg,611.92,243.89
0284.jpg,589.02,288.34
0285.jpg,566.12,332.78
0286.jpg,543.21,377.23
0287.jpg,520.31,421.67
0288.jpg,497.4,466.12
0289.jpg,474.5,510.56
0290.jpg,451.59,555.01
0291.jpg,428.69,599.45
0292.jpg,405.78,643.9
0293.jpg,382.88,688.34
0294.jpg,359.98,732.79
0295.jpg,337.07,777.23
0296.jpg,314.17,821.68
0297.jpg,291.26,866.12
0298.jpg,268.36,839.46
0299.jpg,245.45,795.01
0300.jpg,222.55,750.57
0301.jpg,199.64,706.12
0302.jpg,176.74,661.68
0303.jpg,153.83,617.23
0304.jpg,130.93,572.79
0305.jpg,108.03,528.34
0306.jpg,85.12,483.9
0307.jpg,62.22,439.45
0308.jpg,39.31,395.0
0309.jpg,16.41,350.56
0310.jpg,20.99,306.11
0311.jpg,43.89,261.67
0312.jpg,66.8,217.22
0313.jpg,89.7,172.78
0314.jpg,112.61,128.33
0315.jpg,135.51,83.89
0316.jpg,158.42,39.44
0317.jpg,181.32,12.78
0318.jpg,204.22,57.22
0319.jpg,227.13,101.67
0320.jpg,250.03,146.11
0321.jpg,272.94,190.56
0322.jpg,295.84,235.0
0323.jpg,318.75,279.45
0324.jpg,341.65,323.89
0325.jpg,364.56,368.34
0326.jpg,387.46,412.78
0327.jpg,410.36,457.23
0328.jpg,433.27,501.67
0329.jpg,456.17,546.12
0330.jpg,479.08,590.56
0331.jpg,501.98,635.01
0332.jpg,524.89,679.45
0333.jpg,547.79,723.9
0334.jpg,570.7,768.35
0335.jpg,593.6,812.79
0336.jpg,616.51,857.24
0337.jpg,639.41,848.35
0338.jpg,662.31,803.9
0339.jpg,685.22,759.46
0340.jpg,708.12,715.01
0341.jpg,731.03,670.57
0342.jpg,753.93,626.12
0343.jpg,776.84,581.67
0344.jpg,799.74,537.23
0345.jpg,822.65,492.78
0346.jpg,845.55,448.34
0347.jpg,868.45,403.89
0348.jpg,891.36,359.45
0349.jpg,914.26,315.0
0350.jpg,937.17,270.56
0351.jpg,960.07,226.11
0352.jpg,982.98,181.67
0353.jpg,1005.88,137.22
0354.jpg,1028.79,92.78
0355.jpg,1051.69,48.33
0356.jpg,1074.59,3.89
0357.jpg,1097.5,48.33
0358.jpg,1120.4,92.78
0359.jpg,1143.31,137.22
0360.jpg,1166.21,181.67
0361.jpg,1189.12,226.11
0362.jpg,1212.02,270.56
0363.jpg,1234.93,315.0
0364.jpg,1257.83,359.45
0365.jpg,1280.73,403.89
0366.jpg,1303.64,448.34
0367.jpg,1326.54,492.78
0368.jpg,1349.45,537.23
0369.jpg,1372.35,581.67
0370.jpg,1395.26,626.12
0371.jpg,1418.16,670.57
0372.jpg,1404.42,715.01
0373.jpg,1381.51,759.46
0374.jpg,1358.61,803.9
0375.jpg,1335.71,848.35
0376.jpg,1312.8,857.24
0377.jpg,1289.9,812.79
0378.jpg,1266.99,768.35
0379.jpg,1244.09,723.9
0380.jpg,1221.18,679.45
0381.jpg,1198.28,635.01
0382.jpg,1175.37,590.56
0383.jpg,1152.47,546.12
0384.jpg,1129.57,501.67
0385.jpg,1106.66,457.23
0386.jpg,1083.76,412.78
0387.jpg,1060.85,368.34
0388.jpg,1037.95,323.89
0389.jpg,1015.04,279.45
0390.jpg,992.14,235.0
0391.jpg,969.23,190.56
0392.jpg,946.33,146.11
0393.jpg,923.43,101.67
0394.jpg,900.52,57.22
0395.jpg,877.62,12.78
0396.jpg,854.71,39.44
0397.jpg,831.81,83.89
0398.jpg,808.9,128.33
0399.jpg,786.0,172.78
0400.jpg,763.09,217.22
0401.jpg,740.19,261.67
0402.jpg,717.28,306.11
0403.jpg,694.38,350.56
0404.jpg,671.48,395.0
0405.jpg,648.57,439.45
0406.jpg,625.67,483.9
0407.jpg,602.76,528.34
0408.jpg,579.86,572.79
0409.jpg,556.95,617.23
0410.jpg,534.05,661.68
0411.jpg,511.14,706.12
0412.jpg,488.24,750.57
0413.jpg,465.34,795.01
0414.jpg,442.43,839.46
0415.jpg,419.53,866.12
0416.jpg,396.62,821.68
0417.jpg,373.72,777.23
0418.jpg,350.81,732.79
0419.jpg,327.91,688.34
0420.jpg,305.0,643.9
0421.jpg,282.1,599.45
0422.jpg,259.2,555.01
0423.jpg,236.29,510.56
0424.jpg,213.39,466.12
0425.jpg,190.48,421.67
0426.jpg,167.58,377.23
0427.jpg,144.67,332.78
0428.jpg,121.77,288.34
0429.jpg,98.86,243.89
0430.jpg,75.96,199.45
0431.jpg,53.06,155.0
0432.jpg,30.15,110.55
0433.jpg,7.25,66.11
0434.jpg,30.15,21.66
0435.jpg,53.06,30.55
0436.jpg,75.96,75.0
0437.jpg,98.86,119.44
0438.jpg,121.77,163.89
0439.jpg,144.67,208.33
0440.jpg,167.58,252.78
0441.jpg,190.48,297.22
0442.jpg,213.39,341.67
0443.jpg,236.29,386.12
0444.jpg,259.2,430.56
0445.jpg,282.1,475.01
0446.jpg,305.0,519.45
0447.jpg,327.91,563.9
0448.jpg,350.81,608.34
0449.jpg,373.72,652.79
0450.jpg,396.62,697.23
0451.jpg,419.53,741.68
0452.jpg,442.43,786.12
0453.jpg,465.34,830.57
0454.jpg,488.24,875.01
0455.jpg,511.14,830.57
0456.jpg,534.05,786.12
0457.jpg,556.95,741.68
0458.jpg,579.86,697.23
0459.jpg,602.76,652.79
0460.jpg,625.67,608.34
0461.jpg,648.57,563.9
0462.jpg,671.48,519.45
0463.jpg,694.38,475.01
0464.jpg,717.28,430.56
0465.jpg,740.19,386.12
0466.jpg,763.09,341.67
0467.jpg,786.0,297.22
0468.jpg,808.9,252.78
0469.jpg,831.81,208.33
0470.jpg,854.71,163.89
0471.jpg,877.62,119.44
0472.jpg,900.52,75.0
0473.jpg,923.43,30.55
0474.jpg,946.33,21.66
0475.jpg,969.23,66.11
0476.jpg,992.14,110.55
0477.jpg,1015.04,155.0
0478.jpg,1037.95,199.45
0479.jpg,1060.85,243.89
0480.jpg,1083.76,288.34
0481.jpg,1106.66,332.78
0482.jpg,1129.57,377.23
0483.jpg,1152.47,421.67
0484.jpg,1175.37,466.12
0485.jpg,1198.28,510.56
0486.jpg,1221.18,555.01
0487.jpg,1244.09,599.45
0488.jpg,1266.99,643.9
0489.jpg,1289.9,688.34
0490.jpg,1312.8,732.79
0491.jpg,1335.71,777.23
0492.jpg,1358.61,821.68
0493.jpg,1381.51,866.12
0494.jpg,1404.42,839.46
0495.jpg,1418.16,795.01
0496.jpg,1395.26,750.57
0497.jpg,1372.35,706.12
